Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
23,=,WizTheMc - Show Me Love (w/ bees & honey),42,20,,2808514,"+16,210",19626656,"+19,783",89004964
24,+5,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",556,2,(x2),2737906,"+224,594",17813996,"+81,652",1668313450
25,=,Kendrick Lamar - Not Like Us,345,1,(x10),2638090,"-9,016",19162660,"-211,847",1391348234
26,-4,Jimin - Who,271,1,(x20),2624319,"-256,237",20404661,"-380,161",1479384180
27,+1,Kendrick Lamar - All The Stars (w/ SZA),677,2,(x14),2611187,"+75,151",18561986,"-226,934",1195051582
28,+2,Neton Vega - Morena (w/ Peso Pluma),60,24,,2608620,"+133,802",18318196,"+173,914",121022927
29,+4,sombr - back to friends,29,29,,2606771,"+185,694",16754142,"+216,491",56707355
30,-4,Cup of Joe - Multo,11,24,,2599445,"-34,546",17769614,"+292,229",24977985
31,-4,"Chappell Roan - Good Luck, Babe!",372,5,,2564483,"+7,541",17481666,"+92,547",1426789858
32,-1,Teddy Swims - Lose Control,517,5,,2497052,"+24,017",17979599,"+24,968",1619633907
33,-1,Sabrina Carpenter - Taste,236,2,(x3),2431028,"+6,454",17026877,"+102,305",959018508
34,+3,Bad Bunny - EoO,101,9,,2376846,"+78,337",17195264,"-243,929",310048498
35,+1,The Goo Goo Dolls - Iris,579,29,,2337504,"+21,223",16242524,"-101,992",937060016
36,-1,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",40,32,,2330957,"-25,397",16317037,"+118,790",72522113
37,-3,Chappell Roan - Pink Pony Club,242,18,,2302408,"-68,339",16686904,"-88,169",470113662
38,+2,The Marías - No One Noticed,158,37,,2268771,"+107,703",14801229,"-114,333",275726216
39,+4,Arctic Monkeys - I Wanna Be Yours,1014,11,,2199166,"+76,873",15111610,"-40,882",2436869252
40,+5,The Neighbourhood - Sweater Weather,1780,14,,2196122,"+85,157",15208472,"+20,430",3084997756
41,-2,yung kai - blue,136,22,,2190978,"-38,168",15432516,"-162,998",324236313
42,-1,Lord Huron - The Night We Met,988,15,,2186213,"+40,164",14982403,"-194,786",1743340966
43,-1,ATLXS - PASSO BEM SOLTO - Slowed,20,42,,2153150,"+25,590",14423952,"+302,244",34118091
44,+5,Alleh - capaz (merengueton) (w/ Yorghaki),115,34,,2151091,"+90,536",15809635,"-210,584",249568279
45,+9,Bad Bunny - VOY A LLeVARTE PA PR,101,7,,2145352,"+112,119",15116322,"-6,595",346167106
46,-8,KAROL G - Si Antes Te Hubiera Conocido,299,4,,2134322,"-107,279",16073245,"-78,183",1123478026
47,=,Bad Bunny - NUEVAYoL,101,5,,2120489,"+20,409",15436469,"-142,599",400165506
48,+2,Ed Sheeran - Azizam,12,27,,2114734,"+55,617",16175895,"+57,798",26166346
49,+2,Coldplay - Yellow,1569,15,,2113448,"+63,884",14382329,"-146,198",2218900622
50,+3,Kendrick Lamar - tv off (w/ Lefty Gunplay),144,5,,2099621,"+66,148",14690267,"-66,699",483090406
